textDisplay,Hasil Stemming,Skor Sentimen,Label Sentimen
Mohon supaya magang ini bisa juga ditujukan untuk lulusan yang sudah 2 atau 3 tahun lulus tapi belum dapat pekerjaan . Mohon tak perlu dibatasi sebab masih banyak pengangguran lulusan lama ðŸ™ðŸ™,magang lulus lulus kerja batas anggur lulus,10,Positif
"Kenapa cm fresh graduate ? Gmn nasib lulusan sblmnya yg blm dpt kesempatan kerja ? Sementara usia mrk bertambah terus & makin sulit dapat job. Mrk hrs mengejar ketertinggalan utk memperbaiki portofolio. Justru yg FG masih byk kesempatan. Di era presiden sblmnya para lulusan SMP/SMA/D1/D3/S1 ga dpt program spt ini, cm ada program pelatihan pra kerja tanpa disediakan lapangan pekerjaan yang memadai. Semoga pemerintah melalui pihak terkait dapat mengkaji kembali program magang berbayar.",fresh graduate nasib lulus sempat usia tambah amp sulit job kejar tinggal baik portofolio fg sempat era presiden lulus smpsmadds program program latih pra sedia lapang kerja pada moga perintah kaji program magang bayar,30,Positif
"Tolong untuk penerimaan magang fresh graduate ini untuk pemberitahuannya lebih jelas khususnya di website magang hub kemenaker karena faktanya banyak calon magang gagal diterima karena pada pengumuman panggilan tes di tgl 16 Oktober 2025, panggilan dari perusahaan magang malah masuk ke box email spam para calon magang kerja. Karena ketidaktahuan para calon magang,akhirnya ketika dibuka email panggilannya sudah kedaluarsa.",tolong terima magang fresh graduate pemberitahuannya website magang hubung kemenaker fakta calon magang gagal terima umum panggil tes tanggal oktober panggil usaha magang box email spam calon magang ketidaktahuan calon magangakhirnya buka email panggil kedaluarsa,-6,Negatif
"Ya bolehlah. Tapi kalau sudah lolos magang Batch 1,ya nggak bisa ikut lagi tes magang batch 2. Saran saya kalau sudah pernah magang khususnya yg lulus dari jurusan Teknik Informatika, Sistem Informasi, Teknik Komputer,bagusnya ikut kelas Bootcamp gratisan yg bakal mengerjakan berbagai macam proyek pembuatan software dgn beberapa bahasa pemrogaman. Ini lebih punya nilai jual lebih tinggi dimata perusahaan pengguna calon IT Talent karena ketika dilakukan ujian teknikal berupa coding biasanya lebih benar jawabannya.",lolos magang batch tes magang batch saran magang lulus jurus teknik informatika sistem informasi teknik komputerbagusnya kelas bootcamp gratis proyek buat software bahasa pemrogaman nilai jual mata usaha guna calon talent uji teknikal coding jawab,1,Positif
"Apa dasarnya pemikiran nya kenapa yang diperhatikan cuma sarjana yang baru lulus 1 tahun , Gimana dengan mereka sarjana yang sudah tammat 2 sampai 3 tahun , sudah melamar /tes sana sini karena tidak adanya pengalaman dan sulitnya persaingan untuk mendapatkan pekerjaan, sampai sekarang masih menganggur, apa ngk wajar untuk di kasih kesempatan ikut magang atau training dari pemerintah",dasar pikir perhati sarjana lulus sarjana tammat lamar tes tidak alam sulit saing kerja anggur wajar kasih sempat magang training perintah,6,Positif
"Kumpulkan semua ahli ketrampilan, pemerintah gaji mereka fasilitasi agar generasi muda/mudi bisa belajar ketrampilan sesuai bakat dan kemampuan mereka secara garatis selama 5tahun.Maka indonesia kedepannya mempunyai generasi yg handal yg bisa bersaing dlm segala bidang. Bukan mengirim pembantu tetapi mengirim ahli ke negara lain. Serta kualitas generasi kedepan siap menghadapi tantangan global dalam usaha dan kemandirian usaha.",kumpul ahli ketrampilan perintah gaji fasilitas generasi mudamudi ajar ketrampilan sesuai bakat mampu garatis depan generasi handal saing bidang kirim bantu kirim ahli negara kualitas generasi depan hadap tantang global usaha mandiri usaha,9,Positif
"8 bulan magang, 2 tahun kontrak, tahun berikutnya di PHK massal !!!ingat woi, ini Indonesia, banyak tipuÂ²nyakita sudah punya contoh meski situasinya berbeda :PNS, PPPK, PPPK PARUH WAKTU, dan muncul lagi katanya PPPK PENUH waktu. mereka ASN, namun status mereka beda. diciptakan agar terjadi pemetaan, ketima tensinya tinggi ... maka konflik itu akan didapati.",magang kontrak phk massal woi tipu situasi beda pns pppk pppk paruh muncul pppk penuh asn status beda cipta meta ketima tensi konflik dapat,-8,Negatif
Gimna untuk SMA SMK yang udah pengalaman dan non pengalaman umur 30+ pdhal mereka layak juga ko magang untuk nambah portofolio kerja jga,smk alam non alam umur layak magang tambah portofolio,16,Positif
Pemerintah mau mengatasi pengangguran tapi masih pake syarat. Di luar negeri ijazah gak guna yg penting skill. Skillnya yg dites bukan nyari2 siapa yg punya pendidikan tinggi. Hedeh pemerintah indonesia kapan mau berbenah.,perintah atas anggur pakai syarat negeri ijazah skill skillnya tes cari didik hedeh perintah benah,-8,Negatif
Magang wajib dibayar. Jangan diperas tenaga dan intelektualnya dengan diberi tugas dobel melebihi karyawan tetap. Para karyawan jangan memperlakukan mereka yg magang seperti budak!!,magang wajib bayar peras tenaga intelektual tugas dobel lebih karyawan karyawan laku magang budak,12,Positif
