publishedAt,authorDisplayName,textDisplay,likeCount
2025-11-03T04:11:42Z,@sriumiati-d9b,Mohon supaya magang ini bisa juga ditujukan untuk lulusan yang sudah 2 atau 3 tahun lulus tapi belum dapat pekerjaan . <br>Mohon tak perlu dibatasi sebab masih banyak pengangguran lulusan lama 🙏🙏,0
2025-10-27T08:06:16Z,@ponticarla9725,"Kenapa cm fresh graduate ? Gmn nasib lulusan sblmnya yg blm dpt kesempatan kerja ? Sementara usia mrk bertambah terus &amp; makin sulit dapat job. Mrk hrs mengejar ketertinggalan utk memperbaiki portofolio. Justru yg FG masih byk kesempatan. Di era presiden sblmnya para lulusan SMP/SMA/D1/D3/S1 ga dpt program spt ini, cm ada program pelatihan pra kerja tanpa disediakan lapangan pekerjaan yang memadai. Semoga pemerintah melalui pihak terkait dapat mengkaji kembali program magang berbayar.",0
2025-10-25T00:52:30Z,@pamangober4072,Gak ada lulusan SMA ini ? 😢,0
2025-10-20T22:52:51Z,@termultobat,"Magang, blm kerja kok dipaksa beli seragam  ? <br><br>termul termul",0
2025-10-20T15:43:23Z,@Muhlis-98,"apa gunanya website ga jelas, ga bisa sinkron",0
2025-10-20T10:34:59Z,@fatkurohman4331,Seharusnya dinas tenaga kerja harus mengawasi setiap perusahaan yang mbutuhkan tenaga kerja.. kalau ga outsourching ya bawaan keluarga.. mental uang kebodohan dan arogan yang mapan kerja.,0
2025-10-20T08:36:08Z,@Eatenslapen69,"Tolong untuk penerimaan magang fresh graduate ini untuk pemberitahuannya lebih jelas khususnya di website magang hub kemenaker karena faktanya banyak calon magang gagal diterima karena pada pengumuman panggilan tes di tgl 16 Oktober 2025, panggilan dari perusahaan magang malah masuk ke box email spam para calon magang kerja. Karena ketidaktahuan para calon magang,akhirnya ketika dibuka email panggilannya sudah kedaluarsa.",0
2025-10-20T08:02:37Z,@sumirahdimyati398,"Alhamdulillah, Indonesia mulai cerah. Presiden Prabowo keten",0
2025-10-20T13:59:02Z,@srhutapea7548,Di kepri  ngga ada tuh,0
2025-10-20T06:45:46Z,@Oscar-qn2wi,"Nasehat dari saya buat yang mw magang harus banyak bersabar yah, masalahnya itu pengalaman saya saat magang.",0
2025-10-20T08:38:43Z,@Eatenslapen69,Contoh : alumni tehnik rekayasa perangkat lunak cuman jadi tukang fotokopi dan dianggap calon ancaman atas keberlangsungan pegawai lama dan tidak dimentori dgn benar alias nggak diajarin dgn benar tentang prosedur dan alur kerja😂😂😂😂😂😂,0
2025-10-20T02:29:33Z,@pemifebrianti4104,"Klo yg udh pernah ikut magang,boleh gak ?",0
2025-10-20T06:06:47Z,@adangprabowo18,Boleh,0
2025-10-20T08:41:27Z,@Eatenslapen69,"Ya bolehlah. Tapi kalau sudah lolos magang Batch 1,ya nggak bisa ikut lagi tes magang batch 2. Saran saya kalau sudah pernah magang khususnya yg lulus dari jurusan Teknik Informatika, Sistem Informasi, Teknik Komputer,bagusnya ikut kelas Bootcamp gratisan yg bakal mengerjakan berbagai macam proyek pembuatan software dgn beberapa bahasa pemrogaman. Ini lebih punya nilai jual lebih tinggi dimata perusahaan pengguna calon IT Talent karena ketika dilakukan ujian teknikal berupa coding biasanya lebih benar jawabannya.",0
2025-10-20T00:59:30Z,@gakngerti80,UNTUK SARJANA S1 UG BELUM MENDAPATKAN PEKERJAAN MUNGKIN SELAMA 5 THN APAKAH BISA MENGIKUTI PROGRAM MAGANG MOHON DIJAWAB,0
2025-10-20T08:39:34Z,@Eatenslapen69,Nggak bisa Oom karena judulnya Magang Fresh Graduate.,0
