No,Username,textDisplay,Time/Date
1,@syi***********,Mohon supaya magang ini bisa juga ditujukan untuk lulusan yang sudah 2 atau 3 tahun lulus tapi belum dapat pekerjaan . Mohon tak perlu dibatasi sebab masih banyak pengangguran lulusan lama 🙏🙏,11-10-25 6:38
2,@man***********,"Kenapa cm fresh graduate ? Gmn nasib lulusan sblmnya yg blm dpt kesempatan kerja ? Sementara usia mrk bertambah terus & makin sulit dapat job. Mrk hrs mengejar ketertinggalan utk memperbaiki portofolio. Justru yg FG masih byk kesempatan. Di era presiden sblmnya para lulusan SMP/SMA/D1/D3/S1 ga dpt program spt ini, cm ada program pelatihan pra kerja tanpa disediakan lapangan pekerjaan yang memadai. Semoga pemerintah melalui pihak terkait dapat mengkaji kembali program magang berbayar.",10-10-25 12:20
3,@sri***********,"Tolong untuk penerimaan magang fresh graduate ini untuk pemberitahuannya lebih jelas khususnya di website magang hub kemenaker karena faktanya banyak calon magang gagal diterima karena pada pengumuman panggilan tes di tgl 16 Oktober 2025, panggilan dari perusahaan magang malah masuk ke box email spam para calon magang kerja. Karena ketidaktahuan para calon magang,akhirnya ketika dibuka email panggilannya sudah kedaluarsa.",10-10-25 10:25
4,@Eja*****,"Ya bolehlah. Tapi kalau sudah lolos magang Batch 1,ya nggak bisa ikut lagi tes magang batch 2. Saran saya kalau sudah pernah magang khususnya yg lulus dari jurusan Teknik Informatika, Sistem Informasi, Teknik Komputer,bagusnya ikut kelas Bootcamp gratisan yg bakal mengerjakan berbagai macam proyek pembuatan software dgn beberapa bahasa pemrogaman. Ini lebih punya nilai jual lebih tinggi dimata perusahaan pengguna calon IT Talent karena ketika dilakukan ujian teknikal berupa coding biasanya lebih benar jawabannya.",07-10-25 5:26
5,@lek**********,"Apa dasarnya pemikiran nya kenapa yang diperhatikan cuma sarjana yang baru lulus 1 tahun , Gimana dengan mereka sarjana yang sudah tammat 2 sampai 3 tahun , sudah melamar /tes sana sini karena tidak adanya pengalaman dan sulitnya persaingan untuk mendapatkan pekerjaan, sampai sekarang masih menganggur, apa ngk wajar untuk di kasih kesempatan ikut magang atau training dari pemerintah",07-10-25 0:54
6,@Abd*****************,"Kumpulkan semua ahli ketrampilan, pemerintah gaji mereka fasilitasi agar generasi muda/mudi bisa belajar ketrampilan sesuai bakat dan kemampuan mereka secara garatis selama 5tahun.Maka indonesia kedepannya mempunyai generasi yg handal yg bisa bersaing dlm segala bidang. Bukan mengirim pembantu tetapi mengirim ahli ke negara lain. Serta kualitas generasi kedepan siap menghadapi tantangan global dalam usaha dan kemandirian usaha.",07-10-25 0:09
7,@Hum************,"8 bulan magang, 2 tahun kontrak, tahun berikutnya di PHK massal !!!ingat woi, ini Indonesia, banyak tipu²nyakita sudah punya contoh meski situasinya berbeda :PNS, PPPK, PPPK PARUH WAKTU, dan muncul lagi katanya PPPK PENUH waktu. mereka ASN, namun status mereka beda. diciptakan agar terjadi pemetaan, ketima tensinya tinggi ... maka konflik itu akan didapati.",18-09-25 12:45
8,@pay***********,Gimna untuk SMA SMK yang udah pengalaman dan non pengalaman umur 30+ pdhal mereka layak juga ko magang untuk nambah portofolio kerja jga,18-09-25 11:01
9,@Sur******,Pemerintah mau mengatasi pengangguran tapi masih pake syarat. Di luar negeri ijazah gak guna yg penting skill. Skillnya yg dites bukan nyari2 siapa yg punya pendidikan tinggi. Hedeh pemerintah indonesia kapan mau berbenah.,18-09-25 10:53
10,@rob****************,Magang wajib dibayar. Jangan diperas tenaga dan intelektualnya dengan diberi tugas dobel melebihi karyawan tetap. Para karyawan jangan memperlakukan mereka yg magang seperti budak!!,18-09-25 9:43
11,@jam*******,"Magang, bukan kerja atau kariawan prusahaan,Setelah itu mau jadi apaMagang terus?????",10-10-25 7:48
12,@San*****,program magang cuma berlaku bagi yg fresh graduate atau maksimal lulusnya bru setahun yg lalu...kocak sih menurut gue..🤧,10-10-25 7:37
13,@bij***********,"Magangnya harusnya ya jangan di perusahaan Swasta, ITU MAH SAMA AJA MENUTUP LAPANGAN PEKERJAAN TETAP GA SIH????",12-10-25 5:58
14,@dim********************,Magang saja sarjana apalagi mau jadi pejabat kyknya harus s2,12-10-25 5:53
15,@dim***********,"Jangan yg baru lulus aja ,UTAMAKAM YG SUDAH LAMA NGANGGUR, KASIHAN MEREKA SAMPAI PUTUS ASA RATUSAN KALI MELAMAR PEKERJAAN BLM KERJA JUGA. !!!!",08-10-25 8:59
